,RELIANCE_rsi_dma_crossover,RELIANCE_macd_crossover,RELIANCE_vwap_reversion,TCS_rsi_dma_crossover,TCS_macd_crossover,TCS_vwap_reversion,INFY_rsi_dma_crossover,INFY_macd_crossover,INFY_vwap_reversion
2025-11-19,100000.0,104637.07,96086.62,100000.0,73591.97,100000.0,100000.0,86671.53,93069.46
2025-11-20,100000.0,104936.59,96086.62,100000.0,73858.73,100000.0,100000.0,85006.56,93069.46
2025-11-21,100000.0,107598.99,96086.62,100000.0,71567.61,100000.0,100000.0,82471.2,93069.46
2025-11-24,100000.0,107194.43,96086.62,100000.0,71285.51,100000.0,100000.0,82209.07,93069.46
2025-11-25,100000.0,108095.07,96086.62,100000.0,70326.09,100000.0,100000.0,82209.07,93069.46
2025-11-26,100000.0,107293.49,96086.62,100000.0,70326.09,100000.0,100000.0,82209.07,93069.46
2025-11-27,100000.0,106533.77,96086.62,100000.0,71037.36,100000.0,100000.0,82209.07,93069.46
2025-11-28,100000.0,105773.53,96086.62,100000.0,70153.62,100000.0,100000.0,82209.07,93069.46
2025-12-01,100000.0,104830.77,96086.62,100000.0,70027.09,100000.0,100000.0,82209.07,93069.46
2025-12-02,100000.0,106053.81,96086.62,100000.0,70027.09,100000.0,100000.0,82209.07,93069.46
2025-12-03,100000.0,105694.23,96086.62,100000.0,70027.09,100000.0,100000.0,82209.07,93069.46
2025-12-04,100000.0,105108.29,96086.62,100000.0,70027.09,100000.0,100000.0,82209.07,93069.46
2025-12-05,100000.0,105108.29,96086.62,100000.0,70282.19,100000.0,100000.0,82209.07,93069.46
2025-12-08,100000.0,105108.29,96086.62,100000.0,70644.11,100000.0,100000.0,82209.07,93069.46
2025-12-09,100000.0,105108.29,96086.62,100000.0,70175.85,100000.0,100000.0,82209.07,93069.46
2025-12-10,100000.0,105108.29,96086.62,100000.0,71574.91,100000.0,100000.0,82209.07,93069.46
2025-12-11,100000.0,105108.29,96086.62,100000.0,70358.63,100000.0,100000.0,82209.07,93069.46
